,index,likes,Checkins,Returns,Category,commBase,comm24,comm48,comm24_1,"diff_24,48",baseTime,length,shares,hrs,sun_pub,mon_pub,tue_pub,wed_pub,thu_pub,fri_pub,sat_pub,sun_base,mon_base,tue_base,wed_base,thu_base,fri_base,sat_base,output
15,15,634995,0,463.0,1.0,3.0,0,3.0,3,-3,40,158,4.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0
16,16,634995,0,463.0,1.0,3.0,0,3.0,2,-3,54,151,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
17,17,634995,0,463.0,1.0,0.0,0,0.0,0,0,29,133,1.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
18,18,634995,0,463.0,1.0,1.0,0,1.0,1,-1,36,137,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
19,19,634995,0,463.0,1.0,0.0,0,0.0,0,0,11,106,0.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,0
20,20,634995,0,463.0,1.0,0.0,0,0.0,0,0,62,149,1.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0
21,21,634995,0,463.0,1.0,77.0,46,31.0,74,15,31,135,19.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,5
22,22,634995,0,463.0,1.0,6.0,0,1.0,6,-1,54,64,1.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
23,23,634995,0,463.0,1.0,0.0,0,0.0,0,0,69,111,4.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,0
24,24,634995,0,463.0,1.0,0.0,0,0.0,0,0,71,156,0.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0
25,25,634995,0,463.0,1.0,0.0,0,0.0,0,0,61,199,0.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0
26,26,634995,0,463.0,1.0,4.0,4,0.0,4,4,13,300,0.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,2
27,27,634995,0,463.0,1.0,29.0,3,11.0,25,-8,49,96,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
28,28,634995,0,463.0,1.0,3.0,1,2.0,3,-1,35,67,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
29,29,634995,0,463.0,1.0,2.0,2,0.0,2,2,11,0,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0
30,30,634995,0,463.0,1.0,2.0,0,2.0,2,-2,37,168,0.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
31,31,634995,0,463.0,1.0,0.0,0,0.0,0,0,0,84,0.0,24,0,1.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,15
32,32,634995,0,463.0,1.0,2.0,2,0.0,2,2,11,116,4.0,24,0,0.0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,0
33,33,634995,0,463.0,1.0,0.0,0,0.0,0,0,43,64,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
34,34,634995,0,463.0,1.0,2.0,2,0.0,2,2,18,133,4.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0
35,35,634995,0,463.0,1.0,0.0,0,0.0,0,0,64,186,3.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0
36,36,634995,0,463.0,1.0,0.0,0,0.0,0,0,51,205,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
37,37,634995,0,463.0,1.0,0.0,0,0.0,0,0,67,210,28.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0
38,38,634995,0,463.0,1.0,8.0,8,0.0,8,8,12,114,13.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,2
39,39,634995,0,463.0,1.0,1.0,0,1.0,1,-1,31,142,5.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0
40,40,634995,0,463.0,1.0,3.0,1,2.0,2,-1,38,123,17.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
41,41,634995,0,463.0,1.0,1.0,0,1.0,0,-1,66,68,0.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0
42,42,634995,0,463.0,1.0,0.0,0,0.0,0,0,24,133,3.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,0
43,43,634995,0,463.0,1.0,19.0,1,18.0,18,-17,47,100,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
44,44,634995,0,463.0,1.0,0.0,0,0.0,0,0,26,104,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0
45,45,634995,0,463.0,1.0,0.0,0,0.0,0,0,44,110,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0
46,46,634995,0,463.0,1.0,38.0,3,18.0,33,-15,60,101,14.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,2
47,47,634995,0,463.0,1.0,0.0,0,0.0,0,0,49,121,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
48,48,634995,0,463.0,1.0,3.0,0,3.0,3,-3,33,144,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
49,49,634995,0,463.0,1.0,0.0,0,0.0,0,0,1,168,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,0
50,50,634995,0,463.0,1.0,2.0,2,0.0,2,2,7,143,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0
51,51,634995,0,463.0,1.0,5.0,0,0.0,5,0,54,91,13.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
52,52,634995,0,463.0,1.0,1.0,1,0.0,0,1,46,52,7.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
53,53,634995,0,463.0,1.0,5.0,4,1.0,2,3,40,202,30.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
54,54,634995,0,463.0,1.0,0.0,0,0.0,0,0,67,83,3.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
55,55,634995,0,463.0,1.0,0.0,0,0.0,0,0,54,94,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
56,56,634995,0,463.0,1.0,0.0,0,0.0,0,0,39,72,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
57,57,634995,0,463.0,1.0,0.0,0,0.0,0,0,4,132,3.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,2
58,58,634995,0,463.0,1.0,0.0,0,0.0,0,0,56,196,4.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,1
59,59,634995,0,463.0,1.0,2.0,0,2.0,2,-2,46,63,4.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
60,60,634995,0,463.0,1.0,0.0,0,0.0,0,0,41,115,0.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
61,61,634995,0,463.0,1.0,69.0,35,34.0,65,1,30,197,37.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,3
62,62,634995,0,463.0,1.0,16.0,11,5.0,3,6,49,211,12.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
63,63,634995,0,463.0,1.0,17.0,0,17.0,17,-17,42,116,3.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,1
64,64,634995,0,463.0,1.0,1.0,0,0.0,1,0,58,199,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
65,65,634995,0,463.0,1.0,1.0,0,0.0,1,0,57,65,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
66,66,634995,0,463.0,1.0,3.0,3,0.0,3,3,18,68,15.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,3
67,67,634995,0,463.0,1.0,2.0,0,2.0,2,-2,39,129,12.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,1
68,68,634995,0,463.0,1.0,0.0,0,0.0,0,0,22,174,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,1
69,69,634995,0,463.0,1.0,1.0,1,0.0,1,1,11,211,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0
70,70,634995,0,463.0,1.0,1.0,1,0.0,1,1,17,98,0.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,0
71,71,634995,0,463.0,1.0,1.0,0,1.0,1,-1,31,165,0.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
72,72,634995,0,463.0,1.0,1.0,1,0.0,1,1,38,215,0.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
73,73,634995,0,463.0,1.0,6.0,6,0.0,0,6,46,226,23.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
74,74,634995,0,463.0,1.0,0.0,0,0.0,0,0,12,203,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,0
75,75,634995,0,463.0,1.0,0.0,0,0.0,0,0,58,125,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
76,76,634995,0,463.0,1.0,0.0,0,0.0,0,0,3,172,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,1,0,0,0,0
77,77,634995,0,463.0,1.0,1.0,1,0.0,1,1,1,153,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,1,0,0,0,2
78,78,634995,0,463.0,1.0,0.0,0,0.0,0,0,4,127,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,2
79,79,634995,0,463.0,1.0,2.0,0,0.0,2,0,54,77,4.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0
80,80,634995,0,463.0,1.0,0.0,0,0.0,0,0,67,196,0.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0
81,81,634995,0,463.0,1.0,0.0,0,0.0,0,0,50,67,5.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
82,82,634995,0,463.0,1.0,0.0,0,0.0,0,0,39,209,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
83,83,634995,0,463.0,1.0,7.0,1,6.0,7,-5,35,76,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
84,84,634995,0,463.0,1.0,6.0,0,0.0,6,0,70,158,5.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
85,85,634995,0,463.0,1.0,1.0,1,0.0,1,1,4,130,3.0,24,0,0.0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,0
86,86,634995,0,463.0,1.0,0.0,0,0.0,0,0,19,134,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0
87,87,634995,0,463.0,1.0,10.0,0,10.0,10,-10,44,113,33.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
88,88,634995,0,463.0,1.0,0.0,0,0.0,0,0,59,184,4.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
89,89,634995,0,463.0,1.0,0.0,0,0.0,0,0,43,133,0.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0
90,90,634995,0,463.0,1.0,7.0,0,1.0,7,-1,59,126,0.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,0
91,91,634995,0,463.0,1.0,4.0,0,4.0,4,-4,29,130,0.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0
92,92,634995,0,463.0,1.0,4.0,4,0.0,4,4,23,106,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,1
93,93,634995,0,463.0,1.0,1.0,1,0.0,0,1,29,138,3.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,2
94,94,634995,0,463.0,1.0,9.0,1,1.0,7,0,68,121,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0
95,95,634995,0,463.0,1.0,0.0,0,0.0,0,0,50,0,3.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
96,96,634995,0,463.0,1.0,6.0,0,1.0,6,-1,67,152,0.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0
97,97,634995,0,463.0,1.0,6.0,0,6.0,6,-6,37,157,0.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,1
98,98,634995,0,463.0,1.0,11.0,3,8.0,9,-5,32,141,4.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0
99,99,634995,0,463.0,1.0,14.0,12,2.0,10,10,29,138,4.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0
100,100,634995,0,463.0,1.0,6.0,0,6.0,6,-6,46,70,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,1
101,101,634995,0,463.0,1.0,3.0,0,3.0,3,-3,43,170,3.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0
102,102,634995,0,463.0,1.0,83.0,7,76.0,77,-69,40,172,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,3
103,103,634995,0,463.0,1.0,0.0,0,0.0,0,0,10,147,5.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0
104,104,634995,0,463.0,1.0,1.0,0,1.0,1,-1,39,96,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
105,105,634995,0,463.0,1.0,1.0,0,1.0,1,-1,50,81,3.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
106,106,634995,0,463.0,1.0,0.0,0,0.0,0,0,24,210,0.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,1
107,107,634995,0,463.0,1.0,0.0,0,0.0,0,0,57,49,0.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0
108,108,634995,0,463.0,1.0,5.0,0,5.0,5,-5,42,118,6.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,1
109,109,634995,0,463.0,1.0,11.0,11,0.0,4,11,36,144,21.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,9
110,110,634995,0,463.0,1.0,0.0,0,0.0,0,0,3,79,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,0
111,111,634995,0,463.0,1.0,1.0,1,0.0,1,1,16,136,3.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,0
112,112,634995,0,463.0,1.0,0.0,0,0.0,0,0,42,150,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0
113,113,634995,0,463.0,1.0,0.0,0,0.0,0,0,14,195,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0
114,114,634995,0,463.0,1.0,2.0,0,1.0,2,-1,50,51,3.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
115,115,634995,0,463.0,1.0,0.0,0,0.0,0,0,35,127,0.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,0
116,116,634995,0,463.0,1.0,6.0,6,0.0,6,6,1,114,3.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,1,0,2
117,117,634995,0,463.0,1.0,0.0,0,0.0,0,0,44,115,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
118,118,634995,0,463.0,1.0,2.0,2,0.0,2,2,19,34,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0
119,119,634995,0,463.0,1.0,0.0,0,0.0,0,0,17,107,4.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,0
120,120,634995,0,463.0,1.0,25.0,7,18.0,24,-11,27,75,3.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,3
121,121,634995,0,463.0,1.0,1.0,0,0.0,1,0,62,203,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,0
122,122,634995,0,463.0,1.0,806.0,806,0.0,806,806,18,66,33.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,342
123,123,634995,0,463.0,1.0,2.0,1,0.0,1,1,69,100,4.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0
124,124,634995,0,463.0,1.0,2.0,1,1.0,1,0,33,110,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
125,125,634995,0,463.0,1.0,103.0,4,30.0,86,-26,66,36,18.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0
126,126,634995,0,463.0,1.0,1.0,0,1.0,1,-1,47,89,0.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0
127,127,634995,0,463.0,1.0,1.0,1,0.0,1,1,11,74,0.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,1
128,128,634995,0,463.0,1.0,0.0,0,0.0,0,0,48,182,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
129,129,634995,0,463.0,1.0,2.0,0,2.0,2,-2,38,108,0.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0
130,130,634995,0,463.0,1.0,2.0,0,1.0,2,-1,65,86,3.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0
131,131,634995,0,463.0,1.0,3.0,3,0.0,3,3,2,209,0.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,1,0,0
132,132,634995,0,463.0,1.0,3.0,2,1.0,2,1,32,106,0.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0
133,133,634995,0,463.0,1.0,0.0,0,0.0,0,0,23,57,3.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0
134,134,3995273,0,297147.0,4.0,1180.0,235,945.0,1100,-710,42,38,1197.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,35
135,135,3995273,0,297147.0,4.0,462.0,462,0.0,462,462,17,26,230.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,92
136,136,3995273,0,297147.0,4.0,2007.0,415,1592.0,1771,-1177,41,26,1367.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,51
137,137,3995273,0,297147.0,4.0,339.0,339,0.0,339,339,15,65,1023.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,119
138,138,3995273,0,297147.0,4.0,542.0,5,80.0,473,-75,70,74,523.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,2
139,139,3995273,0,297147.0,4.0,241.0,54,187.0,230,-133,35,0,277.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,7
140,140,3995273,0,297147.0,4.0,946.0,426,520.0,909,-94,28,41,535.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,71
141,141,3995273,0,297147.0,4.0,714.0,144,570.0,689,-426,33,19,204.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,14
142,142,3995273,0,297147.0,4.0,1001.0,68,611.0,924,-543,49,14,353.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,8
143,143,3995273,0,297147.0,4.0,198.0,198,0.0,198,198,17,61,173.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,30
144,144,3995273,0,297147.0,4.0,690.0,24,238.0,641,-214,52,56,383.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,2
145,145,3995273,0,297147.0,4.0,352.0,48,304.0,323,-256,44,14,412.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,3
146,146,3995273,0,297147.0,4.0,784.0,15,118.0,719,-103,68,51,280.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,4
147,147,3995273,0,297147.0,4.0,273.0,32,241.0,252,-209,42,96,222.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,10
148,148,3995273,0,297147.0,4.0,251.0,13,74.0,224,-61,54,96,146.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,7
149,149,3995273,0,297147.0,4.0,992.0,992,0.0,992,992,16,43,1972.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,409
150,150,3995273,0,297147.0,4.0,1639.0,121,294.0,1400,-173,59,11,339.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,28
151,151,3995273,0,297147.0,4.0,515.0,515,0.0,515,515,3,37,545.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,372
152,152,3995273,0,297147.0,4.0,567.0,55,512.0,534,-457,44,37,206.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,23
153,153,3995273,0,297147.0,4.0,311.0,311,0.0,311,311,13,82,398.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,102
154,154,3995273,0,297147.0,4.0,315.0,115,200.0,310,-85,27,28,271.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,26
155,155,3995273,0,297147.0,4.0,881.0,881,0.0,881,881,10,48,4340.0,24,1,0.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,431
156,156,3995273,0,297147.0,4.0,756.0,32,269.0,706,-237,51,19,217.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,4
157,157,3995273,0,297147.0,4.0,509.0,13,51.0,474,-38,63,14,154.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,1
158,158,3995273,0,297147.0,4.0,1003.0,89,192.0,807,-103,66,50,1967.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,6
159,159,3995273,0,297147.0,4.0,200.0,200,0.0,200,200,5,78,412.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,145
160,160,3995273,0,297147.0,4.0,855.0,17,120.0,774,-103,65,14,307.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,7
161,161,3995273,0,297147.0,4.0,489.0,24,77.0,437,-53,58,22,173.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,4
162,162,3995273,0,297147.0,4.0,188.0,188,0.0,188,188,8,48,263.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,90
163,163,3995273,0,297147.0,4.0,587.0,587,0.0,587,587,2,14,259.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,760
164,164,3995273,0,297147.0,4.0,582.0,162,420.0,521,-258,38,196,1082.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,57
165,165,3995273,0,297147.0,4.0,752.0,752,0.0,752,752,8,328,1790.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,501
166,166,3995273,0,297147.0,4.0,459.0,67,392.0,413,-325,46,19,334.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,6
167,167,3995273,0,297147.0,4.0,496.0,79,417.0,486,-338,36,94,686.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,15
168,168,3995273,0,297147.0,4.0,473.0,473,0.0,473,473,21,43,163.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,56
169,169,3995273,0,297147.0,4.0,474.0,143,331.0,459,-188,29,14,324.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,31
170,170,3995273,0,297147.0,4.0,302.0,302,0.0,302,302,1,37,623.0,24,0,0.0,0,0,0.0,0,1,0,0.0,0,0,0,0,1,642
171,171,3995273,0,297147.0,4.0,1846.0,241,1605.0,1605,-1364,48,21,632.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,43
172,172,3995273,0,297147.0,4.0,835.0,835,0.0,835,835,8,14,604.0,24,0,1.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,320
173,173,3995273,0,297147.0,4.0,1033.0,285,748.0,943,-463,33,20,153.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,55
174,174,3995273,0,297147.0,4.0,145.0,35,110.0,143,-75,35,70,98.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,7
175,175,3995273,0,297147.0,4.0,745.0,745,0.0,745,745,20,40,390.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,128
